University,City,Country,CourseName,CourseDescription,StartDate,EndDate,Price,Currency
UNESCO-IHE Institute for Water Education,Leiden,Netherlands,Operator,Open-architected encompassing initiative,2016-06-05,2016-10-27,134.32,EUR
Wilmington College,Memphis,United States,Legal Assistant,Intuitive needs-based projection,2019-04-28,2019-07-07,6224.47,USD
Yanbian University of Science and Technology,Yaozhou,China,Account Representative III,Persistent methodical instruction set,2016-10-25,2017-05-20,3953.69,CNY
Universidad de Pinar del Río,Trinidad,Cuba,Sales Associate,Triple-buffered bi-directional infrastructure,2019-05-25,2019-06-08,3450.34,CUP
"COMSATS Institute of Information Technology, Abbottabad",Haveliān,Pakistan,Engineer I,Total reciprocal strategy,2019-01-18,2019-04-08,620.01,PKR
Changchun Teachers College,Baoshui,China,Cost Accountant,Focused responsive contingency,2018-06-07,2018-11-09,9252.04,CNY
Global University,Bhamdoun,Lebanon,Staff Scientist,Switchable homogeneous orchestration,2017-01-31,2017-02-03,2643.54,LBP
University of Crete,Traganón,Greece,Analyst Programmer,Stand-alone foreground strategy,2018-04-04,2018-05-19,9361.09,EUR
Southern Yangtze University,Chaiwan,China,Legal Assistant,Quality-focused dynamic frame,2017-09-08,2017-11-02,9217.57,CNY
Universidad de Sucre,El Tambo,Colombia,Geological Engineer,Persistent mobile implementation,2018-06-17,2018-10-14,7473.13,COP
University of Manila,San Pedro,Philippines,Electrical Engineer,Future-proofed 3rd generation data-warehouse,2016-10-07,2017-05-02,7086.02,PHP
Université des Montagnes,Buea,Cameroon,Computer Systems Analyst II,Vision-oriented high-level focus group,2017-12-20,2018-04-30,7397.04,XAF
North China University of Technology,Helang,China,Staff Accountant I,Future-proofed homogeneous orchestration,2019-05-14,2019-07-13,6893.73,CNY
University of Perpetual Help,Viga,Philippines,Electrical Engineer,Ameliorated well-modulated data-warehouse,2018-11-22,2019-06-03,9172.86,PHP
Royal Danish Academy of Music,København,Denmark,Nurse,Reduced hybrid framework,2017-10-30,2017-11-18,1779.01,DKK
Université de Nantes,Caen,France,Marketing Manager,Object-based radical open architecture,2016-04-17,2016-05-18,6678.57,EUR
Zhongnan University of Technology,Machang,China,Research Assistant IV,Front-line discrete firmware,2017-10-30,2017-12-25,7172.08,CNY
University of Southern Philippines Foundation,Santa Paz,Philippines,Accountant I,Compatible interactive toolset,2017-01-29,2017-04-14,3080.22,PHP
Cyprus University of Technology,Perivólia,Cyprus,Health Coach I,Sharable intermediate artificial intelligence,2016-07-05,2016-11-01,3945.26,EUR
Universidad de las Regiones Autónomas de la Costa Caribe Nicaragüense,Diriamba,Nicaragua,Staff Scientist,Automated system-worthy paradigm,2017-07-25,2017-11-25,2758.86,NIO
Yunnan University,Duli,China,Media Manager I,Exclusive scalable middleware,2016-12-15,2016-12-30,2766.51,CNY
University of Hydraulic Electric Engineering,Huyang,China,Social Worker,Realigned dedicated parallelism,2016-07-16,2016-07-31,3068.43,CNY
Vietnam Maritime University,Núi Đối,Vietnam,Automation Specialist II,Operative contextually-based process improvement,2016-04-10,2016-10-23,7120.09,VND
Universidad Peruana de Ciencias e Informática,Callanca,Peru,Actuary,Exclusive 3rd generation portal,2018-04-15,2018-10-06,6592.66,PEN
Baku Slavic University,Zabrat,Azerbaijan,Senior Quality Engineer,Re-engineered national task-force,2018-09-26,2019-02-06,6994.89,AZN
Fuzhou University,Fengyi,China,Dental Hygienist,Virtual radical hierarchy,2016-12-19,2016-12-26,835.85,CNY
Daemen College,Alhambra,United States,Programmer IV,Fully-configurable attitude-oriented ability,2017-09-16,2017-09-27,7829.52,USD
Nanjing Medical University,Xing’an,China,Clinical Specialist,Distributed leading edge complexity,2017-09-07,2018-04-01,7596.9,CNY
Jacobs University Bremen,Würzburg,Germany,Junior Executive,Down-sized radical approach,2018-12-01,2019-03-09,3461.71,EUR
Instituto Superior de Ciências Educativas,Casa Nova,Portugal,Cost Accountant,Organized fresh-thinking architecture,2017-03-15,2017-04-02,2271.1,EUR
Universidad Rafael Landívar,Puerto San José,Guatemala,Human Resources Manager,Business-focused leading edge artificial intelligence,2019-07-15,2020-02-09,928.33,GTQ
Kamchatka State University Vitus Bering,Shalakusha,Russia,Sales Representative,Reverse-engineered asynchronous secured line,2019-01-02,2019-07-03,535.53,RUB
University “Pavaresia” Vlore,Rrapë,Albania,Staff Scientist,Down-sized foreground knowledge base,2017-03-15,2017-04-02,5178.24,ALL
Yelets State University,Nyrob,Russia,Software Consultant,Centralized attitude-oriented matrix,2016-08-26,2017-03-09,895.27,RUB
Universitas Negeri Manado,Banjar Susut Kaja,Indonesia,Research Assistant III,Team-oriented value-added local area network,2017-07-12,2017-09-11,2387.02,IDR
Benue State University,Boju,Nigeria,Research Nurse,Persistent executive conglomeration,2018-07-14,2019-01-01,4620.28,NGN
Arellano University,Tamiso,Philippines,Legal Assistant,Multi-layered executive artificial intelligence,2019-12-03,2020-01-21,2516.94,PHP
University of Thessaly,Xylókastro,Greece,VP Sales,Down-sized heuristic local area network,2018-04-18,2018-09-10,9520.75,EUR
University of Electronic Science and Technology of China,Gaotian,China,Executive Secretary,Future-proofed full-range core,2018-05-28,2018-11-12,6325.72,CNY
Hong Bang University International,Nam Đàn,Vietnam,VP Marketing,Future-proofed homogeneous forecast,2019-08-06,2019-08-08,6081.29,VND
Universitas Muhammadiyah Yogyakarta,Marabahan,Indonesia,Human Resources Manager,Secured transitional functionalities,2016-08-04,2017-02-15,9900.45,IDR
Universidade de Franca,Boa Esperança,Brazil,Food Chemist,Networked multimedia pricing structure,2018-09-24,2019-01-22,8951.93,BRL
Ecole Nationale Vétérinaire de Nantes,Rodez,France,Business Systems Development Analyst,Multi-channelled intangible forecast,2017-02-06,2017-09-04,7027.02,EUR
Luzhou Medical College,Yuecheng,China,Research Nurse,Assimilated well-modulated flexibility,2018-02-23,2018-05-12,6980.06,CNY
Universidad del Noreste,Linda Vista,Mexico,Structural Analysis Engineer,Pre-emptive executive interface,2016-07-29,2017-01-12,8108.64,MXN
Ural State Academy of Railway Transport,Roshal’,Russia,General Manager,Adaptive local methodology,2019-08-22,2020-02-26,7941.33,RUB
"Washington State University, Spokane",Indianapolis,United States,Design Engineer,Up-sized eco-centric open system,2016-12-29,2017-01-06,4573.41,USD
University of Qatar,Al Ghuwayrīyah,Qatar,Physical Therapy Assistant,Function-based heuristic data-warehouse,2016-11-13,2017-03-01,3711.26,QAR
Technical University of Sofia,Cherven Bryag,Bulgaria,Programmer II,Managed bifurcated concept,2017-04-24,2017-09-08,4611.57,BGN
Universitas Yarsi,Cibinong,Indonesia,Compensation Analyst,Multi-lateral foreground concept,2016-05-14,2016-08-18,5593.98,IDR
Universidade Atlântica,Vila Flor,Portugal,Staff Accountant I,Cross-platform well-modulated interface,2018-04-12,2018-05-29,4167.14,EUR
Universitas 17 Agustus 1945 Semarang,Cibeureum,Indonesia,Assistant Media Planner,Face to face asynchronous hub,2019-06-24,2019-07-10,7046.4,IDR
Kazan State Academy of Architecture and Civil Engineering,Buy,Russia,Automation Specialist I,Enterprise-wide contextually-based approach,2018-12-30,2019-05-30,2022.08,RUB
Yanbian University,Shunde,China,Office Assistant II,Integrated systematic complexity,2019-02-25,2019-09-28,5958.43,CNY
Peru State College,Beaverton,United States,Professor,Virtual fault-tolerant leverage,2018-11-17,2019-05-23,4955.66,USD
National University,Nagiba,Philippines,Account Coordinator,Multi-layered bandwidth-monitored open architecture,2016-10-14,2016-10-20,5753.14,PHP
Henan Buddhist College,Yejia,China,Community Outreach Specialist,Realigned discrete open architecture,2019-11-09,2020-01-06,1286.25,CNY
Yonok University,Nakhon Chai Si,Thailand,Design Engineer,Configurable tertiary capability,2017-03-02,2017-09-15,3469.73,THB
St. Petersburg State Forest-Technical Academy,Taganskiy,Russia,Senior Financial Analyst,Adaptive needs-based neural-net,2017-05-20,2017-06-24,8048.68,RUB
